! 1H range in H2O
! apply ZOOM for details
Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - Range straggling - method [0] - LISE	Energy (MeV/u)7	6 - Range straggling - method [1] - Atima	Energy (MeV/u)8	7 - Lateral range - method [0] - LISE	Energy (MeV/u)9	8 - Lateral range - method [1] - Atima	Energy (MeV/u)10	9 - Lateral range - method [2] - PDG	
4.500000	328.39    	4.500000	294.19    	4.500000	295.889   	4.500000	295.889   	4.500000	295.889   	4.500000	5.27922   	4.500000	3.86855   	4.500000	8.29154   	4.500000	9.17004   	4.500000	7.76388   	
5.000000	388.597   	5.000000	354.059   	5.000000	355.073   	5.000000	355.073   	5.000000	355.073   	5.000000	6.37527   	5.000000	4.57855   	5.000000	9.86157   	5.000000	10.8008   	5.000000	9.25624   	
5.500000	453.725   	5.500000	418.994   	5.500000	419.061   	5.500000	419.061   	5.500000	419.061   	5.500000	7.5674    	5.500000	5.33772   	5.500000	11.5541   	5.500000	12.5441   	5.500000	10.8673   	
6.000000	523.705   	6.000000	488.937   	6.000000	487.79    	6.000000	487.79    	6.000000	487.79    	6.000000	8.85491   	6.000000	6.14531   	6.000000	13.3677   	6.000000	14.3979   	6.000000	12.5956   	
6.500000	598.475   	6.500000	563.832   	6.500000	561.206   	6.500000	561.206   	6.500000	561.205   	6.500000	10.2372   	6.500000	7.00067   	6.500000	15.3011   	6.500000	16.3604   	6.500000	14.4402   	
7.000000	677.977   	7.000000	643.632   	7.000000	639.259   	7.000000	639.259   	7.000000	639.258   	7.000000	11.7137   	7.000000	7.90319   	7.000000	17.3534   	7.000000	18.43     	7.000000	16.4      	
7.500000	762.159   	7.500000	728.293   	7.500000	721.904   	7.500000	721.904   	7.500000	721.904   	7.500000	13.2839   	7.500000	8.85232   	7.500000	19.5234   	7.500000	20.6052   	7.500000	18.4742   	
8.000000	850.972   	8.000000	817.771   	8.000000	809.103   	8.000000	809.103   	8.000000	809.102   	8.000000	14.9473   	8.000000	9.84757   	8.000000	21.8103   	8.000000	22.8847   	8.000000	20.6618   	
8.500000	944.369   	8.500000	912.031   	8.500000	900.816   	8.500000	900.816   	8.500000	900.815   	8.500000	16.7035   	8.500000	10.8886   	8.500000	24.2134   	8.500000	25.2673   	8.500000	22.9622   	
9.000000	1042.31   	9.000000	1011.04   	9.000000	997.009   	9.000000	997.009   	9.000000	997.009   	9.000000	18.5521   	9.000000	11.9748   	9.000000	26.7319   	9.000000	27.7521   	9.000000	25.3747   	
9.500000	1144.75   	9.500000	1114.76   	9.500000	1097.65   	9.500000	1097.65   	9.500000	1097.65   	9.500000	20.4927   	9.500000	13.1059   	9.500000	29.3652   	9.500000	30.3379   	9.500000	27.8987   	
10.000000	1251.65   	10.000000	1223.12   	10.000000	1202.71   	10.000000	1202.71   	10.000000	1202.71   	10.000000	22.5249   	10.000000	14.281    	10.000000	32.1125   	10.000000	33.0238   	10.000000	30.5337   	
11.000000	1478.7    	11.000000	1451.12   	11.000000	1426.07   	11.000000	1426.07   	11.000000	1426.08   	11.000000	26.8687   	11.000000	16.7657   	11.000000	37.9508   	11.000000	38.6957   	11.000000	36.1377   	
12.000000	1723.18   	12.000000	1696.07   	12.000000	1666.99   	12.000000	1666.99   	12.000000	1667.01   	12.000000	31.5854   	12.000000	19.4301   	12.000000	44.2457   	12.000000	44.7646   	12.000000	42.1859   	
13.000000	1984.85   	13.000000	1957.78   	13.000000	1925.28   	13.000000	1925.27   	13.000000	1925.3    	13.000000	36.6708   	13.000000	22.2706   	13.000000	50.9934   	13.000000	51.2245   	13.000000	48.6748   	
14.000000	2263.46   	14.000000	2236.08   	14.000000	2200.73   	14.000000	2200.73   	14.000000	2200.76   	14.000000	42.1212   	14.000000	25.2831   	14.000000	58.19     	14.000000	58.0701   	14.000000	55.6011   	
15.000000	2558.8    	15.000000	2530.78   	15.000000	2493.19   	15.000000	2493.18   	15.000000	2493.22   	15.000000	47.9328   	15.000000	28.4659   	15.000000	65.8317   	15.000000	65.2962   	15.000000	62.9613   	
16.000000	2870.67   	16.000000	2841.74   	16.000000	2802.47   	16.000000	2802.46   	16.000000	2802.5    	16.000000	54.1018   	16.000000	31.8167   	16.000000	73.9148   	16.000000	72.8977   	16.000000	70.7519   	
17.000000	3198.88   	17.000000	3168.79   	17.000000	3128.39   	17.000000	3128.39   	17.000000	3128.42   	17.000000	60.624    	17.000000	35.3313   	17.000000	82.4353   	17.000000	80.8697   	17.000000	78.9696   	
18.000000	3543.25   	18.000000	3511.78   	18.000000	3470.77   	18.000000	3470.8    	18.000000	3470.82   	18.000000	67.4951   	18.000000	39.0062   	18.000000	91.3892   	18.000000	89.2071   	18.000000	87.6105   	
19.000000	3903.6    	19.000000	3870.57   	19.000000	3829.46   	19.000000	3829.51   	19.000000	3829.51   	19.000000	74.7108   	19.000000	42.8389   	19.000000	100.772   	19.000000	97.9049   	19.000000	96.6708   	
20.000000	4279.76   	20.000000	4245.02   	20.000000	4204.27   	20.000000	4204.35   	20.000000	4204.33   	20.000000	82.2663   	20.000000	46.8266   	20.000000	110.58    	20.000000	106.958   	20.000000	106.147   	
21.000000	4671.59   	21.000000	4635.01   	21.000000	4595.04   	21.000000	4595.15   	21.000000	4595.1    	21.000000	90.1566   	21.000000	50.9661   	21.000000	120.807   	21.000000	116.362   	21.000000	116.034   	
22.000000	5078.94   	22.000000	5040.4    	22.000000	5001.58   	22.000000	5001.72   	22.000000	5001.64   	22.000000	98.3765   	22.000000	55.2549   	22.000000	131.451   	22.000000	126.111   	22.000000	126.328   	
23.000000	5501.65   	23.000000	5461.06   	23.000000	5423.72   	23.000000	5423.9    	23.000000	5423.76   	23.000000	106.921   	23.000000	59.6898   	23.000000	142.504   	23.000000	136.201   	23.000000	137.025   	
24.000000	5939.59   	24.000000	5896.89   	24.000000	5861.27   	24.000000	5861.5    	24.000000	5861.3    	24.000000	115.784   	24.000000	64.2669   	24.000000	153.964   	24.000000	146.626   	24.000000	148.12    	
25.000000	6392.63   	25.000000	6347.77   	25.000000	6314.03   	25.000000	6314.33   	25.000000	6314.06   	25.000000	124.959   	25.000000	68.9816   	25.000000	165.824   	25.000000	157.38    	25.000000	159.608   	
27.000000	7343.5    	27.000000	7294.21   	27.000000	7264.42   	27.000000	7264.95   	27.000000	7264.5    	27.000000	144.225   	27.000000	78.8123   	27.000000	190.722   	27.000000	179.858   	27.000000	183.744   	
29.000000	8353.26   	29.000000	8299.53   	29.000000	8273.42   	29.000000	8274.23   	29.000000	8273.54   	29.000000	164.666   	29.000000	89.1625   	29.000000	217.156   	29.000000	203.591   	29.000000	209.392   	
31.000000	9421      	31.000000	9362.9    	31.000000	9339.66   	31.000000	9340.77   	31.000000	9339.79   	31.000000	186.24    	31.000000	100.011   	31.000000	245.082   	31.000000	228.539   	31.000000	236.513   	
33.000000	10545.9   	33.000000	10483.6   	33.000000	10463     	33.000000	10464.4   	33.000000	10463.1   	33.000000	208.975   	33.000000	111.363   	33.000000	274.501   	33.000000	254.698   	33.000000	265.108   	
35.000000	11727     	35.000000	11660.8   	35.000000	11642.8   	35.000000	11644.6   	35.000000	11642.9   	35.000000	232.864   	35.000000	123.218   	35.000000	305.393   	35.000000	282.05    	35.000000	295.163   	
38.000000	13602.6   	38.000000	13531     	38.000000	13516.8   	38.000000	13519.1   	38.000000	13516.8   	38.000000	270.825   	38.000000	141.933   	38.000000	354.453   	38.000000	325.272   	38.000000	342.944   	
41.000000	15600.6   	41.000000	15524.6   	41.000000	15513.6   	41.000000	15516.9   	41.000000	15513.8   	41.000000	311.291   	41.000000	161.727   	41.000000	406.718   	41.000000	371.07    	41.000000	393.913   	
44.000000	17718.7   	44.000000	17639.4   	44.000000	17631.5   	44.000000	17635.6   	44.000000	17631.7   	44.000000	354.207   	44.000000	182.576   	44.000000	462.128   	44.000000	419.389   	44.000000	448.016   	
