! 12C range in H2O
! apply ZOOM for details
Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - Range straggling - method [0] - LISE	Energy (MeV/u)7	6 - Range straggling - method [1] - Atima	Energy (MeV/u)8	7 - Lateral range - method [0] - LISE	Energy (MeV/u)9	8 - Lateral range - method [1] - Atima	Energy (MeV/u)10	9 - Lateral range - method [2] - PDG	
80.000000	17170.8   	80.000000	17168.5   	80.000000	17155.5   	80.000000	17159.8   	80.000000	17154.8   	80.000000	99.7722   	80.000000	48.7643   	80.000000	120.728   	80.000000	113.533   	80.000000	121.017   	
85.000000	19127.7   	85.000000	19132.9   	85.000000	19116.5   	85.000000	19124.9   	85.000000	19115.8   	85.000000	111.107   	85.000000	54.0432   	85.000000	134.386   	85.000000	125.913   	85.000000	134.928   	
90.000000	21173.4   	90.000000	21187.1   	90.000000	21166.9   	90.000000	21180     	90.000000	21166.2   	90.000000	122.926   	90.000000	59.5336   	90.000000	148.647   	90.000000	138.807   	90.000000	149.486   	
95.000000	23306.3   	95.000000	23329.1   	95.000000	23304.8   	95.000000	23323.3   	95.000000	23304.2   	95.000000	135.214   	95.000000	65.2264   	95.000000	163.495   	95.000000	152.203   	95.000000	164.677   	
100.000000	25524.6   	100.000000	25557.1   	100.000000	25528.6   	100.000000	25552.8   	100.000000	25528     	100.000000	147.956   	100.000000	71.1172   	100.000000	178.916   	100.000000	166.089   	100.000000	180.491   	
105.000000	27826.8   	105.000000	27869.4   	105.000000	27836.6   	105.000000	27867     	105.000000	27836     	105.000000	161.137   	105.000000	77.2006   	105.000000	194.896   	105.000000	180.454   	105.000000	196.914   	
110.000000	30211.3   	110.000000	30264.2   	110.000000	30227     	110.000000	30264.2   	110.000000	30226.3   	110.000000	174.746   	110.000000	83.4728   	110.000000	211.421   	110.000000	195.285   	110.000000	213.934   	
115.000000	32676.8   	115.000000	32740     	115.000000	32698.1   	115.000000	32742.7   	115.000000	32697.6   	115.000000	188.768   	115.000000	89.9269   	115.000000	228.478   	115.000000	210.574   	115.000000	231.542   	
120.000000	35221.7   	120.000000	35295.3   	120.000000	35248.6   	120.000000	35301.1   	120.000000	35248.1   	120.000000	203.19    	120.000000	96.5552   	120.000000	246.055   	120.000000	226.309   	120.000000	249.724   	
125.000000	37844.9   	125.000000	37928.3   	125.000000	37876.9   	125.000000	37937.8   	125.000000	37876.5   	125.000000	218.002   	125.000000	103.358   	125.000000	264.138   	125.000000	242.482   	125.000000	268.472   	
130.000000	40545     	130.000000	40637.8   	130.000000	40581.7   	130.000000	40651.3   	130.000000	40581.3   	130.000000	233.19    	130.000000	110.328   	130.000000	282.716   	130.000000	259.081   	130.000000	287.773   	
135.000000	43320.7   	135.000000	43422.2   	135.000000	43361.4   	135.000000	43440.4   	135.000000	43361     	135.000000	248.744   	135.000000	117.462   	135.000000	301.778   	135.000000	276.099   	135.000000	307.62    	
140.000000	46171     	140.000000	46280.3   	140.000000	46214.8   	140.000000	46303.5   	140.000000	46214.4   	140.000000	264.653   	140.000000	124.76    	140.000000	321.31    	140.000000	293.526   	140.000000	328       	
145.000000	49094.7   	145.000000	49210.6   	145.000000	49140.6   	145.000000	49239.5   	145.000000	49140.1   	145.000000	280.905   	145.000000	132.213   	145.000000	341.304   	145.000000	311.355   	145.000000	348.905   	
150.000000	52090.6   	150.000000	52211.9   	150.000000	52137.4   	150.000000	52246.9   	150.000000	52136.9   	150.000000	297.49    	150.000000	139.816   	150.000000	361.747   	150.000000	329.575   	150.000000	370.325   	
155.000000	55171.5   	155.000000	55282.9   	155.000000	55203.9   	155.000000	55324.6   	155.000000	55203.4   	155.000000	314.398   	155.000000	147.567   	155.000000	382.631   	155.000000	348.181   	155.000000	392.252   	
160.000000	58319.5   	160.000000	58422.4   	160.000000	58339.1   	160.000000	58471.4   	160.000000	58338.4   	160.000000	331.62    	160.000000	155.463   	160.000000	403.943   	160.000000	367.163   	160.000000	414.676   	
165.000000	61533     	165.000000	61629.2   	165.000000	61541.6   	165.000000	61685.9   	165.000000	61540.9   	165.000000	349.146   	165.000000	163.5     	165.000000	425.675   	165.000000	386.514   	165.000000	437.588   	
170.000000	64810.9   	170.000000	64902.1   	170.000000	64810.3   	170.000000	64967.2   	170.000000	64809.5   	170.000000	366.966   	170.000000	171.677   	170.000000	447.816   	170.000000	406.227   	170.000000	460.981   	
175.000000	68152     	175.000000	68240     	175.000000	68144.2   	175.000000	68313.9   	175.000000	68143.3   	175.000000	385.073   	175.000000	179.989   	175.000000	470.358   	175.000000	426.294   	175.000000	484.845   	
180.000000	71555.3   	180.000000	71641.9   	180.000000	71542     	180.000000	71725.2   	180.000000	71541.1   	180.000000	403.456   	180.000000	188.434   	180.000000	493.292   	180.000000	446.709   	180.000000	509.172   	
185.000000	75019.8   	185.000000	75106.6   	185.000000	75002.7   	185.000000	75199.7   	185.000000	75001.7   	185.000000	422.109   	185.000000	197.01    	185.000000	516.608   	185.000000	467.464   	185.000000	533.955   	
190.000000	78544.5   	190.000000	78633.1   	190.000000	78525.4   	190.000000	78736.7   	190.000000	78524.3   	190.000000	441.021   	190.000000	205.71    	190.000000	540.297   	190.000000	488.553   	190.000000	559.185   	
195.000000	82128.4   	195.000000	82220.4   	195.000000	82108.8   	195.000000	82334.9   	195.000000	82107.7   	195.000000	460.187   	195.000000	214.529   	195.000000	564.352   	195.000000	509.971   	195.000000	584.856   	
200.000000	85770.5   	200.000000	85867.5   	200.000000	85752.2   	200.000000	85993.3   	200.000000	85751     	200.000000	479.597   	200.000000	223.47    	200.000000	588.763   	200.000000	531.709   	200.000000	610.959   	
210.000000	93226     	210.000000	93337.3   	210.000000	93214.5   	210.000000	93487.3   	210.000000	93213.3   	210.000000	519.123   	210.000000	241.706   	210.000000	638.625   	210.000000	576.125   	210.000000	664.433   	
220.000000	100904    	220.000000	101035    	220.000000	100905    	220.000000	101211    	220.000000	100904    	220.000000	559.542   	220.000000	260.39    	220.000000	689.821   	220.000000	621.755   	220.000000	719.551   	
230.000000	108797    	230.000000	108953    	230.000000	108816    	230.000000	109157    	230.000000	108815    	230.000000	600.798   	230.000000	279.516   	230.000000	742.29    	230.000000	668.552   	230.000000	776.258   	
240.000000	116900    	240.000000	117086    	240.000000	116941    	240.000000	117319    	240.000000	116940    	240.000000	642.842   	240.000000	299.05    	240.000000	795.977   	240.000000	716.474   	240.000000	834.502   	
250.000000	125206    	250.000000	125426    	250.000000	125273    	250.000000	125689    	250.000000	125272    	250.000000	685.624   	250.000000	318.978   	250.000000	850.827   	250.000000	765.479   	250.000000	894.231   	
260.000000	133709    	260.000000	133967    	260.000000	133806    	260.000000	134262    	260.000000	133806    	260.000000	729.099   	260.000000	339.286   	260.000000	906.79    	260.000000	815.528   	260.000000	955.397   	
270.000000	142404    	270.000000	142703    	270.000000	142534    	270.000000	143031    	270.000000	142534    	270.000000	773.222   	270.000000	359.96    	270.000000	963.815   	270.000000	866.583   	270.000000	1017.95   	
